,track_name,available_markets,duration_ms,explicit,artists_names,principal_artist_name,principal_artist_followers,acousticness,danceability,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,sound_system
4834,"Is It Really so Strange? - John Peel session, 12/2/86","Europe, Africa, Asia, America, Oceania",188013,False,The Smiths,The Smiths,4402333,0.00288,0.525,0.891,9,0.0903,-4.832,B,0.0319,133.272,4,0.498,56,1987,D Major
4835,Is She Weird,"Europe, Africa, Asia, America, Oceania",181093,False,Pixies,Pixies,2631823,0.0343,0.685,0.56,9,0.141,-12.842,B,0.0351,110.112,4,0.633,58,1990,D Major
4836,Is There Life Out There,"Europe, Africa, Asia, America, Oceania",232666,False,Reba McEntire,Reba McEntire,1933471,0.385,0.662,0.536,8,0.0734,-10.609,B,0.0342,96.729,4,0.565,54,1991,G Major
4837,Is There Someone Else?,"Europe, Africa, Asia, America, Oceania",199111,False,The Weeknd,The Weeknd,70651835,0.0388,0.702,0.586,9,0.156,-7.83,A,0.0313,134.951,4,0.608,86,2022,B Minor
4838,Is This It,America,151333,False,The Strokes,The Strokes,5167543,0.147,0.667,0.692,5,0.349,-8.361,B,0.0285,96.022,4,0.846,63,2001,B-Flat Major
4839,Is This Love,"Europe, Africa, Asia, America, Oceania",230733,False,Bob Marley & The Wailers,Bob Marley & The Wailers,11812332,0.108,0.775,0.559,6,0.0945,-8.377,A,0.088,122.229,4,0.804,66,2002,D Minor
4840,Is This Love - 2018 Remaster,"Asia, America",284496,False,Whitesnake,Whitesnake,2789288,0.0555,0.263,0.759,0,0.231,-7.288,B,0.0431,179.904,4,0.429,61,1987,B Major
4841,Island In The Sun,"Europe, Africa, Asia, America, Oceania",200306,False,Weezer,Weezer,3193788,0.00719,0.654,0.81,4,0.165,-6.26,A,0.0288,114.623,4,0.661,82,2001,C Minor
4842,Island Song,"Europe, Africa, Asia, America, Oceania",223306,False,Zac Brown Band,Zac Brown Band,3680320,0.208,0.845,0.7,8,0.166,-6.025,B,0.0504,145.892,4,0.892,64,2012,G Major
4843,Islands,America,160720,False,The xx,The xx,3909880,0.74,0.871,0.472,4,0.145,-11.077,B,0.0756,124.04,4,0.707,59,2009,E-Flat Major
4844,Islands in the Stream,"Europe, Africa, Asia, America, Oceania",249360,False,Dolly Parton;Kenny Rogers,Dolly Parton,2223243,0.681,0.592,0.473,8,0.0732,-9.834,B,0.0354,203.989,4,0.741,72,2009,G Major
4845,Isn't She Lovely,"Europe, Africa, Asia, America, Oceania",199386,False,Stevie Wonder,Stevie Wonder,6256349,0.202,0.747,0.692,1,0.0698,-8.956,A,0.0474,118.698,4,0.904,70,2002,E-Flat Minor
4846,Issues,"Europe, Africa, Asia, America, Oceania",176320,False,Julia Michaels,Julia Michaels,5057964,0.401,0.728,0.415,8,0.0616,-6.852,B,0.0639,114.145,4,0.455,78,2017,G Major
4847,Istanbul (Not Constantinople),"Europe, Africa, Asia, America, Oceania",153813,False,They Might Be Giants,They Might Be Giants,407189,0.0801,0.688,0.748,5,0.136,-9.39,A,0.0377,114.144,4,0.892,66,1990,G Minor
